边燕杰,蔡禾,5
边燕杰,方文,6
边燕杰,冯仕政,5
边燕杰,洪大用,1
边燕杰,黄晓星,6
边燕杰,李春玲,2
边燕杰,李树茁,4
边燕杰,李银河,6
边燕杰,梁玉成,1
边燕杰,刘军,4
边燕杰,刘林平,4
边燕杰,刘世定,6
边燕杰,刘欣,1
边燕杰,潘绥铭,6
边燕杰,丘海雄,6
边燕杰,邱泽奇,2
边燕杰,孙立平,6
边燕杰,佟新,6
边燕杰,王汉生,5
边燕杰,王天夫,2
边燕杰,魏伟,6
边燕杰,吴晓刚,-3
边燕杰,吴愈晓,-2
边燕杰,谢立中,6
边燕杰,谢宇,3
边燕杰,徐安琪,2
边燕杰,翟学伟,6
边燕杰,张佩国,6
边燕杰,张文宏,-3
边燕杰,赵延东,-5
边燕杰,郑广怀,5
边燕杰,周飞舟,6
边燕杰,周敏,6
边燕杰,周晓虹,6
边燕杰,周雪光,5
边燕杰,周怡,2
蔡禾,方文,1
蔡禾,冯仕政,0
蔡禾,洪大用,-4
蔡禾,黄晓星,1
蔡禾,李春玲,-3
蔡禾,李树茁,-1
蔡禾,李银河,1
蔡禾,梁玉成,-4
蔡禾,刘军,-1
蔡禾,刘林平,-1
蔡禾,刘世定,1
蔡禾,刘欣,-4
蔡禾,潘绥铭,1
蔡禾,丘海雄,1
蔡禾,邱泽奇,-3
蔡禾,孙立平,1
蔡禾,佟新,1
蔡禾,王汉生,0
蔡禾,王天夫,-3
蔡禾,魏伟,1
蔡禾,吴晓刚,-8
蔡禾,吴愈晓,-7
蔡禾,谢立中,1
蔡禾,谢宇,-2
蔡禾,徐安琪,-3
蔡禾,翟学伟,1
蔡禾,张佩国,1
蔡禾,张文宏,-8
蔡禾,赵延东,-10
蔡禾,郑广怀,0
蔡禾,周飞舟,1
蔡禾,周敏,1
蔡禾,周晓虹,1
蔡禾,周雪光,0
蔡禾,周怡,-3
方文,冯仕政,-1
方文,洪大用,-5
方文,黄晓星,0
方文,李春玲,-4
方文,李树茁,-2
方文,李银河,0
方文,梁玉成,-5
方文,刘军,-2
方文,刘林平,-2
方文,刘世定,0
方文,刘欣,-5
方文,潘绥铭,0
方文,丘海雄,0
方文,邱泽奇,-4
方文,孙立平,0
方文,佟新,0
方文,王汉生,-1
方文,王天夫,-4
方文,魏伟,0
方文,吴晓刚,-9
方文,吴愈晓,-8
方文,谢立中,0
方文,谢宇,-3
方文,徐安琪,-4
方文,翟学伟,0
方文,张佩国,0
方文,张文宏,-9
方文,赵延东,-11
方文,郑广怀,-1
方文,周飞舟,0
方文,周敏,0
