1996,FALSE,2004,4,0,何明升
2007,FALSE,2014,3,0,何蓉
2006,TRUE,2010,2,1,何雪松
2013,FALSE,2013,1,0,何艳玲
1986,FALSE,1995,4,0,何肇发
2009,FALSE,2009,1,0,和经纬
1996,TRUE,2015,11,6,洪大用
2010,TRUE,2015,4,4,洪岩璧
2011,TRUE,2011,1,1,侯佳伟
1994,FALSE,2008,5,0,侯钧生
2014,FALSE,2015,3,0,侯俊丹
2001,TRUE,2006,3,2,侯龙龙
2012,TRUE,2014,4,4,胡安宁
1995,FALSE,1995,1,0,胡必亮
2012,FALSE,2012,1,0,胡鸿保
2014,FALSE,2014,1,0,胡婧炜
2011,TRUE,2013,2,2,胡康
1989,FALSE,2015,16,0,胡荣
2010,FALSE,2012,2,0,胡蓉
1987,TRUE,1987,1,1,胡伟
2015,FALSE,2015,1,0,胡翼鹏
1989,FALSE,1989,1,0,黄爱华
2007,TRUE,2008,2,1,黄晨熹
2011,TRUE,2015,5,1,黄冬娅
2015,FALSE,2015,1,0,黄家亮
2013,TRUE,2013,1,1,黄嘉文
2009,FALSE,2009,1,0,黄佩华
1994,TRUE,2004,5,1,黄平
2008,FALSE,2015,9,0,黄荣贵
2008,FALSE,2008,1,0,黄先碧
2009,FALSE,2014,3,0,黄晓春
2008,TRUE,2015,6,1,黄晓星
2008,FALSE,2012,3,0,黄岩
2003,FALSE,2013,4,0,黄盈盈
1998,FALSE,1998,1,0,黄育馥
2007,FALSE,2007,1,0,吉国秀
2006,TRUE,2013,4,2,纪莺莺
1988,TRUE,1993,3,1,季卫东
1986,FALSE,1986,1,0,贾春增
2006,FALSE,2009,2,0,贾文娟
2011,FALSE,2011,1,0,江华
2010,TRUE,2012,2,1,金桥
1998,FALSE,1998,1,0,金吾伦
1995,FALSE,2006,3,0,金一虹
2010,TRUE,2010,1,1,晋军
2002,TRUE,2013,4,3,靳小怡
1998,FALSE,2006,2,0,景军
1999,FALSE,2014,7,0,景天魁
2005,TRUE,2005,1,1,康晓光
1989,FALSE,1994,2,0,乐国安
1986,FALSE,2009,6,0,雷洪
1991,FALSE,2000,7,0,雷洁琼
2008,TRUE,2012,4,3,雷开春
2014,TRUE,2014,1,1,雷鸣
2005,TRUE,2008,3,1,黎熙元
2009,FALSE,2014,3,0,黎相宜
1992,TRUE,2008,3,1,李博柏
2012,FALSE,2012,1,0,李晨璐
1996,TRUE,2014,11,5,李春玲
1988,FALSE,1988,1,0,李德芳
2009,FALSE,2009,1,0,李德满
2014,TRUE,2014,1,1,李丁
1989,FALSE,2000,4,0,李东山
1998,FALSE,1998,1,0,李冬莉
2012,TRUE,2012,1,1,李飞
2013,TRUE,2015,2,2,李峰
2006,TRUE,2006,2,2,李锋亮
1988,FALSE,2005,12,0,李国庆
2010,TRUE,2011,3,2,李国武
1987,TRUE,2008,11,2,李汉林
2008,TRUE,2009,2,1,李辉
2013,FALSE,2013,1,0,李会
2015,TRUE,2015,1,1,李建新
2005,FALSE,2013,3,0,李洁
1998,FALSE,2008,2,0,李金铮
2006,TRUE,2006,1,1,李静雅
2009,TRUE,2014,3,3,李骏
2008,TRUE,2009,2,2,李黎明
2009,FALSE,2009,1,0,李里
2004,FALSE,2007,3,0,李林艳
1987,FALSE,2015,28,0,李路路
2006,TRUE,2011,2,1,李璐
2006,FALSE,2006,1,0,李美羚
1994,FALSE,2010,3,0,李猛
1986,FALSE,1986,1,0,李敏
1999,FALSE,2002,3,0,李明欢
2015,TRUE,2015,1,1,李楠
1990,FALSE,2013,22,0,李培林
1994,TRUE,2004,3,1,李沛良
1994,FALSE,1994,1,0,李平
1986,FALSE,2015,18,0,李强
2008,FALSE,2008,1,0,李睿
1991,FALSE,2005,6,0,李若建
2006,FALSE,2007,2,0,李升
2008,FALSE,2008,1,0,李实
2002,TRUE,2013,6,3,李树茁
2004,TRUE,2007,2,1,李炜
2009,TRUE,2013,2,2,李卫东
2008,TRUE,2015,2,1,李向平
1988,FALSE,1988,1,0,李小方
1986,FALSE,1995,2,0,李小江
1998,FALSE,2000,3,0,李小云
1991,TRUE,2011,6,1,李银河
2013,FALSE,2015,2,0,李英飞
1988,FALSE,2006,5,0,李迎生
2002,FALSE,2010,7,0,李友梅
2001,TRUE,2011,3,2,李煜
2005,FALSE,2005,1,0,李芝兰
2012,TRUE,2015,2,2,练宏
2010,FALSE,2012,2,0,梁波
2015,FALSE,2015,1,0,梁晨
1989,FALSE,1989,1,0,梁向阳
2008,FALSE,2015,2,0,梁永佳
2002,TRUE,2013,7,6,梁玉成
2006,FALSE,2006,1,0,林蔼云
1992,TRUE,2000,2,1,林彬
1995,FALSE,2004,4,0,林闽钢
2006,FALSE,2006,1,0,林尚立
2008,FALSE,2011,4,0,林晓珊
1990,FALSE,1990,1,0,林耀华
2010,TRUE,2010,1,1,林易
1999,FALSE,2000,3,0,林志斌
2010,TRUE,2010,1,1,林宗弘
